table_size;sample_size;rf_accuracy;train_test_overfit;cv_overfit;best_rf;rf_cmatrix;discarded;rf_perm_importance;travel_mode;distance_threshold;trip_purpose;age_cohort;activity_cohort;schema
4047;286673.0;0.683;True;False;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100};"[[507 199]
 [315 598]]";False;{'Feature': {1: 'dem_attitude', 3: 'dem_household_size', 0: 'dem_income', 2: 'dem_social'}, 'Importance_Mean': {1: 0.13335392217418163, 3: 0.030862672431542122, 0: 0.027630224418365264, 2: 0.027341980646489617}, 'Importance_Std': {1: 0.010796898858282859, 3: 0.007690669305945863, 0: 0.007563029815200055, 2: 0.005874714658461614}};walking;1500;Care;combined_features_dem;;
3571;255187.0;0.682;True;False;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100};"[[394 151]
 [303 581]]";False;{'Feature': {1: 'dem_attitude', 2: 'dem_household_size', 0: 'dem_income'}, 'Importance_Mean': {1: 0.13025425705621652, 2: 0.05094471658502454, 0: 0.02911126662001403}, 'Importance_Std': {1: 0.01144141891552773, 2: 0.007991917071342466, 0: 0.006195151486281779}};walking;1200;Care;combined_features_dem;;
23560;1722129.0;0.68;True;False;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100};"[[1387  805]
 [2213 5019]]";False;{'Feature': {19: 'dem_att_vehicle', 33: 'dem_hou_structure_students_age6_12', 46: 'den_perc_office', 48: 'den_perc_school_basic', 56: 'den_pop_total', 40: 'den_perc_housing_ch', 41: 'den_perc_housing_sfr', 50: 'den_perc_shopping_alone', 52: 'den_perc_shopping_market', 49: 'den_perc_school_superior', 12: 'acc_sport_other', 8: 'acc_school_basic', 2: 'acc_leisure_bar', 47: 'den_perc_parking', 15: 'dem_activity_unemployed', 60: 'div_ut_care', 58: 'des_mean_degree', 32: 'dem_hou_structure_students_age13_18', 9: 'acc_school_superior', 5: 'acc_parks_L', 17: 'dem_att_card', 3: 'acc_leisure_cultural', 24: 'dem_cohort_less_5', 62: 'div_wt_school', 42: 'den_perc_industrial', 6: 'acc_parks_M', 61: 'div_wt_care', 35: 'dem_household_size', 26: 'dem_education', 20: 'dem_cohort_ages_13-18', 28: 'dem_hou_size', 29: 'dem_hou_structure_children', 57: 'des_betweenness', 38: 'den_perc_care_other', 10: 'acc_shopping_mall', 36: 'dem_income', 27: 'dem_gender', 7: 'acc_parks_S', 59: 'des_straightness', 51: 'den_perc_shopping_mall', 39: 'den_perc_care_public', 23: 'dem_cohort_ages_6-12', 34: 'dem_hou_structure_worker', 44: 'den_perc_leisure_cultural', 45: 'den_perc_leisure_shows', 21: 'dem_cohort_ages_19-40', 30: 'dem_hou_structure_other', 55: 'den_perc_unbuilt', 53: 'den_perc_sport_other', 4: 'acc_leisure_shows', 37: 'den_far_ag', 43: 'den_perc_leisure_bar', 13: 'acc_transportation', 18: 'dem_att_license', 16: 'dem_activity_worker', 63: 'div_wt_sport', 54: 'den_perc_storage', 14: 'dem_activity_student', 11: 'acc_shopping_market', 0: 'acc_care_other', 31: 'dem_hou_structure_retiree', 1: 'acc_care_public', 22: 'dem_cohort_ages_41-65', 25: 'dem_cohort_more_65'}, 'Importance_Mean': {19: 0.006366723259762353, 33: 0.004124221844934957, 46: 0.0023875212224109005, 48: 0.0020974816072439634, 56: 0.00165534804753823, 40: 0.0016164402942841457, 41: 0.0014466610073571454, 50: 0.001436049801924222, 52: 0.0011884550084890052, 49: 0.0011035653650255087, 12: 0.0010009903791737865, 8: 0.0008241369552914916, 2: 0.0007498585172609299, 47: 0.0006508205998868588, 15: 0.0004951895868704555, 60: 0.0004775042444822186, 58: 0.000445670628183407, 32: 0.0003324844368987427, 9: 0.0001379456706282293, 5: 0.00013087153367295304, 17: 0.00012733446519529087, 3: 8.84267119411808e-05, 24: 3.183361629884862e-05, 62: 1.768534238828871e-05, 42: 1.4148273910633928e-05, 6: -5.659309564228406e-05, 61: -0.0001025749858516889, 35: -0.0001167232597622673, 26: -0.00019100169779281417, 20: -0.00024405772495750266, 28: -0.00024759479343515743, 29: -0.00026174306734573954, 57: -0.00027942840973397274, 38: -0.00028296547821161276, 10: -0.00039968873797392447, 36: -0.00046689303904919505, 27: -0.0005871533672891468, 7: -0.00061191284663266, 59: -0.0006543576683644063, 51: -0.0007038766270514585, 39: -0.0007852292020373038, 23: -0.0009231748726654924, 34: -0.0009479343520090056, 44: -0.0010398981324277966, 45: -0.0010929541595924741, 21: -0.0010929541595924926, 30: -0.0012096774193547895, 55: -0.001227362761743019, 53: -0.001407753254102954, 4: -0.0014148273910582377, 37: -0.0016518109790605122, 43: -0.0017367006225240012, 13: -0.002338002263723778, 18: -0.002532541029994306, 16: -0.0026103565365025007, 63: -0.003098471986417617, 54: -0.0034274193548386716, 14: -0.0036962365591397426, 11: -0.0037033106960950263, 0: -0.0038094227504244147, 31: -0.0039402942840972895, 1: -0.003940294284097297, 22: -0.004279852857951294, 25: -0.005570882852291973}, 'Importance_Std': {19: 0.002012215843146616, 33: 0.0011348644386052953, 46: 0.000955696004806231, 48: 0.001027583835570726, 56: 0.0009365954292462977, 40: 0.0010453279141819473, 41: 0.001059875944311056, 50: 0.0008910604924273037, 52: 0.0008157065820826069, 49: 0.0007456086657044707, 12: 0.0008135334391014683, 8: 0.00134743740430446, 2: 0.0012558137354525196, 47: 0.0010084305672826304, 15: 0.0004595467393579942, 60: 0.0009217100960623494, 58: 0.0010473784754755678, 32: 0.0004303610971775612, 9: 0.0007979127893850195, 5: 0.0003429497528204961, 17: 0.0006791171477079729, 3: 0.0004832339795599286, 24: 0.00018409753366827654, 62: 0.0010515568359027664, 42: 0.0010750826395876016, 6: 0.0005931738711870882, 61: 0.001012052893023916, 35: 0.0008450633253273323, 26: 0.0010498839123084345, 20: 0.00042280915843305293, 28: 0.0014451857559472287, 29: 0.00010516460630530975, 57: 0.0008375386797973834, 38: 0.0010703942992171301, 10: 0.0009106216971039039, 36: 0.0008107220208182333, 27: 0.0005436509919875761, 7: 0.0007915529356299591, 59: 0.000956219494611908, 51: 0.0008653103871256673, 39: 0.0008326472559712229, 23: 0.0005800037392042054, 34: 0.0003864318133488331, 44: 0.0003992972776363897, 45: 0.0007023463812976544, 21: 0.0004201376332109203, 30: 0.0008451743527903235, 55: 0.0007026313305220709, 53: 0.000508108227726528, 4: 0.0006548832377494681, 37: 0.0012174967858390217, 43: 0.0013760469300103302, 13: 0.0007099646281747419, 18: 0.000731959552617302, 16: 0.0008208437863248529, 63: 0.0008428619699267951, 54: 0.0010350323024527147, 14: 0.00128918746580528, 11: 0.0010223351726263291, 0: 0.001109315127818696, 31: 0.0017137963680815044, 1: 0.0009650688947777655, 22: 0.001058050643222647, 25: 0.0009919254341261353}};walking;1500;all;all_features_all;;
23560;1722129.0;0.68;False;False;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100};"[[1279  913]
 [2102 5130]]";False;{'Feature': {8: 'den_land_use_walkable', 7: 'dem_social', 3: 'dem_attitude', 0: 'acc_general', 16: 'des_straightness', 6: 'dem_income', 10: 'den_perc_housing_sfr', 15: 'des_mean_degree', 5: 'dem_household_size', 4: 'dem_gender', 1: 'acc_green_areas', 14: 'des_betweenness', 13: 'den_urban_form', 11: 'den_perc_unbuilt', 12: 'den_pop_total', 9: 'den_less_walkable', 2: 'acc_transportation'}, 'Importance_Mean': {8: 0.016383701188454985, 7: 0.009447509903791722, 3: 0.008244906621392153, 0: 0.006327815506508172, 16: 0.0037386813808715077, 6: 0.0021611488398415165, 10: 0.0021116298811544717, 15: 0.0003926146010186519, 5: 0.0001344086021505079, 4: 1.0611205432905132e-05, 1: -0.0007144878324844524, 14: -0.0011071024335031377, 13: -0.0011177136389360798, 11: -0.001941850594227538, 12: -0.0030135823429541944, 9: -0.003077249575551818, 2: -0.00526315789473687}, 'Importance_Std': {8: 0.0023161614583565473, 7: 0.0022252321592339855, 3: 0.001507675179280599, 0: 0.002694979261975648, 16: 0.0017463270425178595, 6: 0.0012887215680904424, 10: 0.0012514476183255153, 15: 0.0012513876342571074, 5: 0.0012969808428970138, 4: 0.0006309578960092215, 1: 0.0012558137354525254, 14: 0.0009994393666207682, 13: 0.0013393491725968722, 11: 0.0011283691954531796, 12: 0.001379075738608665, 9: 0.0010338894117965436, 2: 0.0011218474986339157}};walking;1500;all;combined_features_all;;
3917;305460.0;0.68;True;False;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100};"[[118  66]
 [436 947]]";False;{'Feature': {14: 'des_betweenness', 5: 'dem_household_size', 7: 'dem_social', 1: 'acc_green_areas', 16: 'des_mean_degree', 10: 'den_perc_housing_sfr', 2: 'acc_transportation', 11: 'den_perc_unbuilt', 15: 'des_building_age', 4: 'dem_gender', 0: 'acc_general', 6: 'dem_income', 9: 'den_less_walkable', 3: 'dem_attitude', 12: 'den_pop_total', 8: 'den_land_use_walkable', 17: 'div_walkable', 13: 'den_urban_form'}, 'Importance_Mean': {14: 0.008551372048500261, 5: 0.0071686875132949985, 7: 0.005786002978089707, 1: 0.005360561582641943, 16: 0.005169112954690451, 10: 0.0038502446288023314, 2: 0.003403531163582167, 11: 0.0032333546054030605, 15: 0.0015741331631567287, 4: 0.0014252286747500008, 0: 0.0008721548606678879, 6: -4.070817756958907e-17, 9: -0.0002552648372687168, 3: -0.0046160391406084265, 12: -0.005658370559455483, 8: -0.008211018932142137, 17: -0.009614975537119812, 13: -0.01671984684109769}, 'Importance_Std': {14: 0.002760127901860642, 5: 0.004170682091847976, 7: 0.003874554373972339, 1: 0.004429292414405955, 16: 0.0036000110802229357, 10: 0.004425868697612178, 2: 0.0025650270657277814, 11: 0.003968025093136179, 15: 0.004429701039566146, 4: 0.0022812745239379354, 0: 0.005431213914595286, 6: 0.005097313477400354, 9: 0.003528599751498648, 3: 0.004035026241346402, 12: 0.00217183561252503, 8: 0.0035444656074607225, 17: 0.004402650428669694, 13: 0.004186006077490939}};walking;600;Study;combined_features_all;;
4738;338083.0;0.678;False;False;{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 50};"[[ 135   86]
 [ 524 1151]]";False;{'Feature': {13: 'acc_transportation', 40: 'div_wt_school', 25: 'den_perc_parking', 8: 'acc_school_basic', 20: 'den_perc_industrial', 39: 'div_wt_care', 35: 'des_betweenness', 11: 'acc_shopping_market', 26: 'den_perc_school_basic', 16: 'den_perc_care_other', 17: 'den_perc_care_public', 0: 'acc_care_other', 10: 'acc_shopping_mall', 22: 'den_perc_leisure_cultural', 6: 'acc_parks_M', 9: 'acc_school_superior', 12: 'acc_sport_other', 4: 'acc_leisure_shows', 30: 'den_perc_shopping_market', 5: 'acc_parks_L', 37: 'des_straightness', 19: 'den_perc_housing_sfr', 3: 'acc_leisure_cultural', 23: 'den_perc_leisure_shows', 31: 'den_perc_sport_other', 24: 'den_perc_office', 27: 'den_perc_school_superior', 36: 'des_mean_degree', 29: 'den_perc_shopping_mall', 18: 'den_perc_housing_ch', 41: 'div_wt_sport', 21: 'den_perc_leisure_bar', 1: 'acc_care_public', 38: 'div_ut_care', 32: 'den_perc_storage', 15: 'den_far_ag', 33: 'den_perc_unbuilt', 7: 'acc_parks_S', 28: 'den_perc_shopping_alone', 14: 'den_built_total', 2: 'acc_leisure_bar', 34: 'den_pop_total'}, 'Importance_Mean': {13: 0.007032348804500699, 40: 0.006241209563994358, 25: 0.006047819971870597, 8: 0.00513361462728551, 20: 0.0034634317862165865, 39: 0.0032876230661040727, 35: 0.003094233473980294, 11: 0.002285513361462732, 26: 0.0022855133614627173, 16: 0.002092123769338946, 17: 0.0018811533052039272, 0: 0.0018635724331926692, 10: 0.001793248945147674, 22: 0.0015646976090014086, 6: 0.001388888888888884, 9: 0.001213080168776363, 12: 0.0009317862165963457, 4: 0.000914205344585084, 30: 0.0006856540084388259, 5: 0.0, 37: -0.0001933895921237716, 19: -0.00021097046413502593, 3: -0.0003691983122362778, 23: -0.00043952180028128027, 31: -0.0004922644163150617, 24: -0.0007735583684950827, 27: -0.0008614627285513358, 36: -0.0009317862165963457, 29: -0.0013713080168776407, 18: -0.0015119549929676567, 41: -0.0018284106891701863, 21: -0.002373417721519, 1: -0.0025492264416315173, 38: -0.004588607594936719, 32: -0.005274261603375533, 15: -0.005467651195499305, 33: -0.005643459915611818, 7: -0.0063642756680731384, 28: -0.007718002812939532, 14: -0.008843178621659656, 2: -0.010038677918424761, 34: -0.035689170182841075}, 'Importance_Std': {13: 0.0026029192015923643, 40: 0.0029336886686428796, 25: 0.0022241019129210235, 8: 0.002469846600398875, 20: 0.0014583648598727559, 39: 0.0017998726296450237, 35: 0.0014963377518251155, 11: 0.002721346353149002, 26: 0.0012505920705892122, 16: 0.0016140925730694906, 17: 0.0011203582254820398, 0: 0.00233395594588974, 10: 0.0015857907572123364, 22: 0.0009675870538549091, 6: 0.0009959218732959489, 9: 0.0015173626840593022, 12: 0.0013596505837542374, 4: 0.001759493108747791, 30: 0.0012115504327721573, 5: 0.0, 37: 0.00208975861770957, 19: 0.0024383598379164348, 3: 0.0005300567310717801, 23: 0.0003624389614642826, 31: 0.0017908342585438602, 24: 0.0014776301961639125, 27: 0.0014823292192849167, 36: 0.0010608421126262824, 29: 0.0013175101262443973, 18: 0.0020730524575223227, 41: 0.0016439760516963528, 21: 0.001452418393271659, 1: 0.00217498907207517, 38: 0.0025555235285599637, 32: 0.0018422203793853286, 15: 0.0014443090294332455, 33: 0.0016962580722970834, 7: 0.0017114055588801583, 28: 0.002284769434266236, 14: 0.003195707366420819, 2: 0.003957414847775381, 34: 0.004045129045183638}};walking;1200;Shopping;all_features_be;;
13481;1001820.0;0.677;False;False;{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100};"[[ 340  152]
 [1588 3313]]";False;{'Feature': {22: 'dem_income', 21: 'dem_household_size', 15: 'dem_hou_size', 20: 'dem_hou_structure_worker', 19: 'dem_hou_structure_students_age6_12', 8: 'dem_cohort_ages_19-40', 18: 'dem_hou_structure_students_age13_18', 2: 'dem_activity_unemployed', 14: 'dem_gender', 16: 'dem_hou_structure_children', 11: 'dem_cohort_less_5', 4: 'dem_att_card', 7: 'dem_cohort_ages_13-18', 17: 'dem_hou_structure_other', 3: 'dem_activity_worker', 10: 'dem_cohort_ages_6-12', 13: 'dem_education', 9: 'dem_cohort_ages_41-65', 0: 'dem_activity_retired', 12: 'dem_cohort_more_65', 6: 'dem_att_vehicle', 1: 'dem_activity_student', 5: 'dem_att_license'}, 'Importance_Mean': {22: 0.011137894801903728, 21: 0.006526979417763801, 15: 0.0051610111873416275, 20: 0.0038197663638049623, 19: 0.00039557451016752155, 8: -0.00014834044131278496, 18: -0.000173063848198259, 2: -0.00035230854811790037, 14: -0.0005810000618084973, 16: -0.0007726064651708516, 11: -0.001347425675258022, 4: -0.0017306384819827973, 7: -0.0024785215402682117, 17: -0.003220223746832292, 3: -0.008597564744421752, 10: -0.010816490512392578, 13: -0.014290129179800947, 9: -0.01451882069349153, 0: -0.017065331602694824, 12: -0.017460906112862336, 6: -0.021478459731751012, 1: -0.026546758143272127, 5: -0.03779590827616043}, 'Importance_Std': {22: 0.0025919517948134684, 21: 0.0029777596277850648, 15: 0.0017727842147440653, 20: 0.0007333105853248884, 19: 0.0019992356387459292, 8: 0.0006894905626990122, 18: 0.0007584083886607613, 2: 0.001096313056501694, 14: 0.001133710417030466, 16: 0.00029155019259708163, 11: 0.0002484671641293406, 4: 0.0020577688256190017, 7: 0.00035661961151495046, 17: 0.0012078624166064367, 3: 0.0015249177107388536, 10: 0.00106769629181973, 13: 0.0018066281733490517, 9: 0.001590882075193891, 0: 0.002364682720505157, 12: 0.0020363538051934482, 6: 0.004052607773088449, 1: 0.0019318004611836282, 5: 0.0018325469669218022}};walking;600;all;all_features_dem;;
3331;245514.0;0.677;False;True;{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50};"[[ 27  24]
 [406 876]]";False;{'Feature': {0: 'des_building_age', 1: 'des_betweenness'}, 'Importance_Mean': {0: -0.005851462865716484, 1: -0.01717929482370598}, 'Importance_Std': {0: 0.009505796886095813, 1: 0.007579864681074125}};walking;600;Sport / Stroll;only_purpose_features_be;;
1226;90167.0;0.674;False;True;{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 50};"[[ 40  56]
 [104 291]]";False;{'Feature': {1: 'den_perc_leisure_bar', 0: 'den_perc_unbuilt'}, 'Importance_Mean': {1: 0.030821452817379535, 0: 0.00597420230821456}, 'Importance_Std': {1: 0.01675956456125944, 0: 0.011839907321977807}};walking;1500;Leisure;purpose_combined_features_be;;
4301;308649.0;0.674;True;False;{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100};"[[  96   46]
 [ 515 1064]]";False;{'Feature': {9: 'acc_shopping_alone', 60: 'des_straightness', 56: 'den_perc_unbuilt', 58: 'des_betweenness', 63: 'div_wt_leisure', 13: 'acc_transportation', 64: 'div_wt_school', 55: 'den_perc_storage', 65: 'div_wt_sport', 47: 'den_perc_office', 16: 'dem_activity_worker', 4: 'acc_parks_L', 54: 'den_perc_sport_other', 57: 'den_pop_total', 34: 'dem_hou_structure_worker', 33: 'dem_hou_structure_students_age6_12', 20: 'dem_cohort_ages_13-18', 23: 'dem_cohort_ages_6-12', 21: 'dem_cohort_ages_19-40', 14: 'dem_activity_student', 32: 'dem_hou_structure_students_age13_18', 29: 'dem_hou_structure_children', 24: 'dem_cohort_less_5', 22: 'dem_cohort_ages_41-65', 25: 'dem_cohort_more_65', 42: 'den_perc_housing_sfr', 3: 'acc_leisure_shows', 17: 'dem_att_card', 7: 'acc_school_basic', 6: 'acc_parks_S', 40: 'den_perc_care_public', 50: 'den_perc_school_superior', 18: 'dem_att_license', 26: 'dem_education', 10: 'acc_shopping_mall', 15: 'dem_activity_unemployed', 19: 'dem_att_vehicle', 51: 'den_perc_shopping_alone', 28: 'dem_hou_size', 2: 'acc_leisure_cultural', 30: 'dem_hou_structure_other', 36: 'dem_income', 49: 'den_perc_school_basic', 12: 'acc_sport_other', 31: 'dem_hou_structure_retiree', 46: 'den_perc_leisure_shows', 45: 'den_perc_leisure_cultural', 11: 'acc_shopping_market', 43: 'den_perc_industrial', 59: 'des_building_age', 41: 'den_perc_housing_ch', 0: 'acc_care_other', 48: 'den_perc_parking', 5: 'acc_parks_M', 27: 'dem_gender', 53: 'den_perc_shopping_market', 52: 'den_perc_shopping_mall', 38: 'den_far_ag', 35: 'dem_household_size', 61: 'div_ut_care', 1: 'acc_care_public', 62: 'div_wt_care', 39: 'den_perc_care_other', 44: 'den_perc_leisure_bar', 8: 'acc_school_superior', 37: 'den_built_total'}, 'Importance_Mean': {9: 0.010497772612822035, 60: 0.007147007553747882, 56: 0.0030408677125702424, 58: 0.002827813286848757, 63: 0.0027890761185357603, 13: 0.0016269610691458678, 64: 0.0014913809800503755, 55: 0.0013364323067983927, 65: 0.0012395893860158971, 47: 0.0009490606236684185, 16: 0.0005810575246949501, 4: 0.0004454774355994617, 54: 9.684292078250278e-05, 57: 7.747433662600815e-05, 34: 5.810575246949501e-05, 33: 3.873716831299667e-05, 20: 0.0, 23: 0.0, 21: 0.0, 14: 0.0, 32: 0.0, 29: 0.0, 24: 0.0, 22: -9.684292078249168e-05, 25: -0.00013558008909548837, 42: -0.00017431725740847022, 3: -0.00023242300987798005, 17: -0.00027116017819097673, 7: -0.0002905287623474528, 6: -0.00040674026728645767, 40: -0.00046484601975594155, 50: -0.0005035831880689271, 18: -0.00060042610885143, 26: -0.0006004261088514484, 10: -0.0007747433662599039, 15: -0.0007941119504164318, 19: -0.0009877977919813855, 51: -0.0012395893860158566, 28: -0.0013558008909548762, 2: -0.0014139066434243675, 30: -0.0016850668216153405, 36: -0.0017238039899283113, 49: -0.0017238039899283187, 12: -0.0017431725740848355, 31: -0.0017819097423978137, 46: -0.001781909742397821, 45: -0.0018012783265543267, 11: -0.0019368584156498002, 43: -0.0020143327522757935, 59: -0.00207243850474527, 41: -0.0023048615146232503, 0: -0.0024404416037187423, 48: -0.0025372845245012266, 5: -0.002556653108657725, 27: -0.0027503389502227045, 53: -0.0029052876234746837, 52: -0.0029827619601006774, 38: -0.0030602362967266632, 35: -0.003312027890761138, 61: -0.0033120278907611453, 1: -0.0034088708115436444, 62: -0.00443540577183803, 39: -0.005190780553941462, 44: -0.0052101491380979565, 8: -0.009122603137710602, 37: -0.01243463102847179}, 'Importance_Std': {9: 0.004303837121776067, 60: 0.0014323588529524989, 56: 0.00282549075621393, 58: 0.001688958307696443, 63: 0.0024942645798187715, 13: 0.0024349014340217328, 64: 0.0019194452570794618, 55: 0.0019163156183816768, 65: 0.0023132285302085924, 47: 0.0015554070511651392, 16: 0.00045008522326640935, 4: 0.000490373383737063, 54: 0.002265793235211748, 57: 0.002146682316869628, 34: 0.0007846069765845158, 33: 0.00014494121196102945, 20: 0.0, 23: 0.0, 21: 0.0, 14: 0.0, 32: 0.0, 29: 0.0, 24: 0.0, 22: 0.000913614287435279, 25: 0.0005128104704580224, 42: 0.0023152547989965613, 3: 0.000680937277987492, 17: 0.0007757111909549089, 7: 0.0025182883855713032, 6: 0.0016917324600664492, 40: 0.0018762550514526044, 50: 0.0022590777938134, 18: 0.001605257224481366, 26: 0.0010659762080819013, 10: 0.0029373912237271043, 15: 0.0004620128003825942, 19: 0.0023297919120980454, 51: 0.002584381763179673, 28: 0.000853097638797021, 2: 0.0009569335136188662, 30: 0.0009290865741012012, 36: 0.0016261538445517722, 49: 0.0018647229504929767, 12: 0.001507766837577256, 31: 0.001608409025142467, 46: 0.0012456273632239544, 45: 0.0008265190119446534, 11: 0.0011653386756917301, 43: 0.0014982823634176548, 59: 0.0031814631399948766, 41: 0.002108330661172905, 0: 0.002621851056985098, 48: 0.0016603972241059379, 5: 0.0016060749518983148, 27: 0.0010278132218803908, 53: 0.0013993718278665949, 52: 0.0024548486566344733, 38: 0.002920484497380695, 35: 0.0013844135021118006, 61: 0.001691732460066416, 1: 0.0027530655682713617, 62: 0.0017203184734291249, 39: 0.002289756607574137, 44: 0.0025304742024902464, 8: 0.0029823217325195463, 37: 0.003494728122803494}};walking;900;Shopping;all_features_all;;
