"Code";" Description";"Unit of Measure";" Trips Per Unit 1";" Trips Per Unit 2";"TripPurpose";"Cadastral"
863;" Electronics Superstore";" 1,000 SF GFA";" 4.26";;;
864;" Toy/Children's Superstore";" 1,000 SF GFA";" 5.00";;;
865;" Baby Superstore";" 1,000 SF GFA";" 1.82";;;
866;" Pet Supply Superstore";" 1,000 SF GFA";" 3.55";;;
867;" Office Supply Superstore";" 1,000 SF GFA";" 2.77";;;
868;" Book Superstore";" 1,000 SF GFA";" 15.83";;;
869;" Discount Home Furnishing Superstore";" 1,000 SF GFA";" 1.57";;;
872;" Bed and Linen Superstore";" 1,000 SF GFA";" 2.22";;;
875;" Department Store";" 1,000 SF GFA";" 1.95";;"Shopping ";"shopping_area"
876;" Apparel Store";" 1,000 SF GFA";" 4.12";" 1.12";"Shopping ";"shopping_area"
879;" Arts and Craft Store";" 1,000 SF GFA";" 6.21";;;
880;" Pharmacy / Drugstore without Drive-Through Window";" 1,000 SF GFA";" 8.51";;;
881;" Pharmacy / Drugstore with Drive-Through Window";" 1,000 SF GFA";" 10.29";;;
882;" Marijuana Dispensary";" 1,000 SF GFA";" 21.83";;;
890;" Furniture Store";" 1,000 SF GFA";" 0.52";;;
897;" Medical Equipment Store";" 1,000 SF GFA";" 1.24";;;
899;" Liquor Store";" 1,000 SF GFA";" 16.37";;;
911;" Walk-In Bank";" 1,000 SF GFA";" 12.13";;;
912;" Drive-In Bank";" 1,000 SF GFA";" 20.45";;;
918;" Hair Salon";" 1,000 SF GFA";" 1.45";;;
920;" Copy, Print, and Express Ship Store";" 1,000 SF GFA";" 7.42";;;
925;" Drinking Place";" 1,000 SF GFA";" 11.36";;"Leisure ";"leisure_area"
926;" Food Cart Pod";" Food Carts";" 3.08";;;
930;" Fast Casual Restaurant";" 1,000 SF GFA";" 14.13";;"Leisure ";"leisure_area"
931;" Quality Restaurant";" 1,000 SF GFA";" 7.80";;"Leisure ";"leisure_area"
932;" High-Turnover (Sit-Down) Restaurant";" 1,000 SF GFA";" 9.77";" 9.80";"Leisure ";"leisure_area"
933;" Fast Food Restaurant without Drive-Through Window";" 1,000 SF GFA";" 28.34";;"Leisure ";"leisure_area"
934;" Fast Food Restaurant with Drive-Through Window";" 1,000 SF GFA";" 32.67";" 78.74";;
935;" Fast Food Restaurant with Drive-Through Window and No Indoor Seating";" 1,000 SF GFA";" 42.65";;;
936;" Coffee/Donut Shop without Drive-Through Window";" 1,000 SF GFA";" 36.31";;"Leisure ";"leisure_area"
937;" Coffee/Donut Shop with Drive-Through Window";" 1,000 SF GFA";" 43.38";" 83.19";;
938;" Coffee/Donut Shop with Drive-Through Window and No Indoor Seating";" 1,000 SF GFA";" 83.33";;;
939;" Bread / Donut / Bagel Shop without Drive-Through Window";" 1,000 SF GFA";" 28.00";;"Leisure ";"leisure_area"
940;" Bread / Donut / Bagel Shop with Drive-Through Window";" 1,000 SF GFA";" 19.02";;;
941;" Quick Lubrication Vehicle Shop";" 1,000 SF GFA";" 8.70";;;
942;" Automobile Care Center";" 1,000 SF GFA";" 3.11";;;
943;" Automobile Parts and Service Center";" 1,000 SF GFA";" 2.26";;;
944;" Gasoline / Service Station";" 1,000 SF GFA";" 109.27";;;
945;" Gasoline / Service Station with Convenience Market";" 1,000 SF GFA";" 88.35";;;
947;" Self Service Car Wash Wash";" Stalls";" 5.54";;;
948;" Automated Car Wash";" 1,000 SF GFA";" 14.20";;;
949;" Car Wash and Detail Center Wash";" Stalls";" 13.60";;;
950;" Truck Stop";" 1,000 SF GFA";" 22.73";;;
960;" Super Convenience Market/Gas Station";" 1,000 SF GFA";" 69.28";;;
970;" Winery";" 1,000 SF GFA";" 7.31";;;
